Time,Distance
1.366666667,152.55
1.5,150.21
1.533333333,149.21
1.566666667,149.16
1.6,148.22
1.633333333,148.17
1.666666667,148.17
1.7,148.17
1.733333333,149.16
1.766666667,148.17
1.8,148.17
1.833333333,148.12
1.866666667,148.12
1.9,148.12
1.933333333,148.17
1.966666667,148.17
2,148.17
2.033333333,148.17
2.066666667,149.08
2.166666667,147.17
2.2,149.27
2.266666667,150.05
2.3,149
2.333333333,149
2.366666667,148
2.4,148
2.433333333,149.01
2.466666667,151
2.5,155
2.533333333,159.08
2.566666667,159.08
2.6,161.15
2.633333333,161.2
2.666666667,163.2
2.7,162.31
2.733333333,160.25
2.766666667,162.6
2.8,163.78
2.833333333,161.79
2.866666667,164.1
2.966666667,161.79
3.033333333,160.12
3.066666667,160.29
3.1,161.62
3.133333333,161.45
3.466666667,156
3.5,154.73
3.533333333,156.22
3.566666667,153.84
3.6,153.44
3.633333333,151.17
3.666666667,151.53
3.7,150.96
3.766666667,153.16
4.5,160.13
4.533333333,157.15
4.566666667,156.04
4.6,153.94
4.633333333,151.65
4.666666667,151.56
4.7,152.64
4.733333333,147.34
4.766666667,143.06
4.8,143.17
5.066666667,158.05
5.1,154.03
5.133333333,152.08
5.166666667,152.12
5.2,152.12
5.233333333,153.16
5.266666667,154.16
5.3,154.08
5.5,147
5.533333333,148
5.566666667,148.03
5.8,162.43
5.833333333,158.27
5.866666667,155.33
5.9,155.13
5.933333333,152.19
5.966666667,155.16
6.1,157.89
6.133333333,156.22
6.166666667,154.64
6.2,154.69
6.533333333,155.98
6.566666667,154.78
6.6,154.56
6.633333333,156.52
6.666666667,156.95
6.833333333,163.6
6.866666667,157.26
6.9,157.11
6.933333333,158.05
6.966666667,155
7,155.08
7.033333333,156.39
7.166666667,150.21
7.2,147.49
7.233333333,145.58
7.633333333,139.09
7.7,138.36
7.733333333,138.23
7.766666667,139.36
7.8,138.71
7.833333333,142.39
8.166666667,156.05
8.233333333,151.27
8.266666667,150.33
8.3,147.34
8.333333333,145.34
8.366666667,144.28
8.4,145.22
8.433333333,144.22
8.466666667,145.17
8.5,146.09
8.533333333,146.03
8.566666667,148
8.6,147.57
8.733333333,167.19
8.766666667,168.08
8.8,165.1
8.833333333,160.13
8.866666667,158.15
8.9,161.01
8.933333333,160.8
8.966666667,160.38
9,160.25
9.033333333,161.31
9.066666667,162.52
9.1,159.62
9.133333333,158.62
9.166666667,159.71
9.2,157.71
9.233333333,160.7
9.266666667,159.45
9.3,160
9.333333333,168.36
9.5,161.08
9.533333333,159.11
9.566666667,155.21
9.6,152.27
9.633333333,148.17
