Frame,Green_X,Green_Y,Lime_X,Lime_Y,Distance
1,0,0,0,0,
2,0,0,0,0,
3,0,0,0,0,
4,0,0,0,0,
5,0,0,0,0,
6,0,0,0,0,
7,0,0,0,0,
8,0,0,0,0,
9,0,0,0,0,
10,0,0,0,0,
11,0,0,0,0,
12,0,0,0,0,
13,0,0,0,0,
14,0,0,0,0,
15,0,0,0,0,
16,983,593,0,0,
17,985,578,0,0,
18,986,569,0,0,
19,986,567,0,0,
20,0,0,1125,538,
21,0,0,1128,547,
22,0,0,1129,557,
23,988,592,1130,566,144.36
24,989,596,1130,571,143.2
25,989,599,1129,574,142.21
26,989,599,1128,575,141.06
27,989,600,1128,577,140.89
28,989,600,1128,577,140.89
29,988,601,1128,577,142.04
30,988,601,1127,577,141.06
31,988,601,1126,579,139.74
32,988,602,1126,579,139.9
33,988,602,1125,579,138.92
34,987,602,1125,578,140.07
35,985,601,1126,575,143.38
36,986,597,1127,570,143.56
37,988,595,1130,566,144.93
38,0,0,1132,566,
39,992,583,1136,570,144.59
40,992,584,1139,574,147.34
41,988,590,1139,580,151.33
42,986,595,1137,585,151.33
43,983,598,1135,589,152.27
44,982,600,1133,594,151.12
45,982,603,1134,596,152.16
46,983,603,1134,597,151.12
47,983,603,1134,598,151.08
48,983,604,1134,598,151.12
49,982,605,1133,599,151.12
50,980,607,1133,601,153.12
51,979,609,1133,603,154.12
52,978,612,1133,605,155.16
53,978,613,1133,607,155.12
54,980,615,1134,607,154.21
55,981,615,1134,608,153.16
56,982,615,1134,607,152.21
57,984,615,1135,606,151.27
58,986,615,1137,605,151.33
59,988,616,1138,604,150.48
60,990,617,1139,603,149.66
61,991,618,1141,602,150.85
62,993,619,1142,601,150.08
63,994,620,1144,599,151.46
64,997,620,1146,598,150.62
65,998,619,1149,597,152.59
66,1001,619,1153,595,153.88
67,1004,618,1156,593,154.04
68,1006,618,1159,591,155.36
69,1008,619,1161,589,155.91
70,1009,618,1164,586,158.27
71,1012,616,1166,583,157.5
72,1015,616,1167,579,156.44
73,1019,610,0,0,
74,1026,600,0,0,
75,1032,588,0,0,
