Time,Distance
0.7666666667,144.36
0.8,143.2
0.8333333333,142.21
0.8666666667,141.06
0.9,140.89
0.9333333333,140.89
0.9666666667,142.04
1,141.06
1.033333333,139.74
1.066666667,139.9
1.1,138.92
1.133333333,140.07
1.166666667,143.38
1.2,143.56
1.233333333,144.93
1.3,144.59
1.333333333,147.34
1.366666667,151.33
1.4,151.33
1.433333333,152.27
1.466666667,151.12
1.5,152.16
1.533333333,151.12
1.566666667,151.08
1.6,151.12
1.633333333,151.12
1.666666667,153.12
1.7,154.12
1.733333333,155.16
1.766666667,155.12
1.8,154.21
1.833333333,153.16
1.866666667,152.21
1.9,151.27
1.933333333,151.33
1.966666667,150.48
2,149.66
2.033333333,150.85
2.066666667,150.08
2.1,151.46
2.133333333,150.62
2.166666667,152.59
2.2,153.88
2.233333333,154.04
2.266666667,155.36
2.3,155.91
2.333333333,158.27
2.366666667,157.5
2.4,156.44
2.866666667,167.51
2.9,167.51
2.933333333,166.51
2.966666667,167.43
3,167.43
3.033333333,167.3
3.133333333,164.3
3.166666667,163.31
3.2,164.37
3.233333333,163.52
3.3,164.37
3.4,164.37
3.466666667,163.52
3.5,164.68
3.533333333,164.68
3.566666667,163.88
3.6,163
3.633333333,163
3.666666667,163
3.7,164.1
3.733333333,165.34
3.766666667,165.75
3.8,169.33
3.833333333,168.47
3.866666667,170.02
3.9,169.37
3.933333333,169.19
3.966666667,168.66
4,167.69
4.466666667,145.99
4.5,146.97
4.533333333,147.96
4.566666667,147.8
4.6,146.51
5.366666667,153.03
5.4,158.01
5.433333333,159.01
5.466666667,160.01
5.5,158.03
5.566666667,156.01
5.6,155.01
5.633333333,157.03
5.666666667,156.03
5.7,157.03
5.733333333,157.05
5.766666667,156.05
5.8,156.03
5.833333333,154.05
7.033333333,165.66
7.066666667,165.89
7.1,165.42
7.133333333,167.36
7.166666667,167.36
7.2,165.17
7.233333333,166.39
7.266666667,165.17
7.3,164.45
7.333333333,165.68
7.366666667,164.98
7.4,164.71
7.433333333,166.21
7.466666667,165.52
7.5,164.84
7.533333333,164.77
7.566666667,164.77
7.6,165.7
7.633333333,165.08
7.666666667,164.14
7.7,162.86
8.066666667,163.69
8.1,164.51
8.133333333,165.44
8.166666667,165.25
8.2,164.3
8.233333333,164.2
8.266666667,162.25
8.3,162.25
8.333333333,162.25
8.366666667,162.2
8.4,162.2
8.433333333,164.15
8.466666667,165.11
8.5,166.08
9.333333333,153.77
9.366666667,153.77
9.4,154.99
9.433333333,154.28
9.466666667,154.02
9.5,155.24
9.533333333,157.18
9.566666667,158.62
9.6,155.98
9.666666667,143.39
9.7,143.95
9.733333333,141.79
9.766666667,142.77
9.8,143.75
9.833333333,145
9.866666667,149.35
9.9,153.18
9.933333333,154.18
9.966666667,156.42
10,154.3
10.03333333,152.07
10.06666667,153.44
10.1,157.84
10.13333333,160.12
10.16666667,160.12
10.2,159.97
10.23333333,159.81
10.26666667,157.99
10.3,157.54
10.33333333,158.53
10.36666667,158.98
10.4,159.48
10.43333333,156.71
10.46666667,157.88
10.5,158.27
10.53333333,158.47
11.4,162.26
11.43333333,165.22
11.46666667,165.22
11.5,167.19
11.6,164.94
11.7,165.42
12.23333333,153.05
12.26666667,154.5
12.3,154.5
12.33333333,155.23
12.36666667,154.74
12.4,155.23
12.43333333,156.2
12.46666667,155.98
12.5,156.52
12.53333333,156.31
12.6,153.38
12.73333333,149.68
12.76666667,149.68
12.8,149.47
12.83333333,147.09
12.86666667,143.95
12.9,142.77
12.93333333,139.45
12.96666667,140.25
13,139.09
13.03333333,140.89
13.06666667,145.67
13.1,147.8
13.13333333,146.81
13.16666667,146.66
13.23333333,157.28
13.56666667,163.23
14.56666667,136
14.6,138
14.63333333,139.01
14.66666667,140.09
14.7,140.36
14.73333333,143.35
14.76666667,141.6
14.8,140.73
14.83333333,141.6
14.86666667,141.44
14.9,143.1
14.93333333,142.37
15.2,141.23
15.23333333,143.38
15.26666667,145.17
15.3,149.11
15.33333333,151.43
15.36666667,150.27
15.4,147.31
15.43333333,146.33
15.46666667,145.34
15.5,145.17
15.53333333,148.3
15.56666667,149.28
15.6,146.97
15.63333333,144.84
15.66666667,147.65
15.7,147.36
15.73333333,147.36
15.76666667,147.36
15.8,146.37
15.83333333,147.36
15.86666667,146.11
15.9,145.12
15.93333333,145.12
15.96666667,144.39
16,144.54
16.03333333,145.04
16.83333333,138.51
16.86666667,140.73
16.9,140.41
16.93333333,138.19
16.96666667,137.57
17,139.14
17.03333333,140.73
17.06666667,142.34
17.1,143
17.13333333,144.54
17.16666667,143.29
17.2,144.54
17.23333333,147.05
17.26666667,146.75
17.3,146.45
17.33333333,144.37
17.36666667,143.59
17.4,146.74
17.43333333,146.29
18.03333333,135.36
18.06666667,134.77
18.1,133.81
18.13333333,132.85
18.16666667,133.52
18.2,133.81
18.23333333,134.1
18.26666667,134.77
18.3,134.77
18.33333333,135.06
18.36666667,134.1
18.5,135.36
19.06666667,138.88
19.1,138.6
19.13333333,139.84
19.16666667,141.21
19.2,142.86
19.23333333,141.99
19.26666667,141.99
19.3,141.6
19.33333333,143.38
19.36666667,143.56
19.4,143.38
19.73333333,134.97
20.5,140.81
20.53333333,140.04
21.16666667,158
21.2,158
21.3,160.05
21.33333333,161.11
21.36666667,161.15
21.4,161.11
21.43333333,161.15
21.46666667,161.11
21.5,161.25
21.53333333,161.25
21.56666667,162.31
21.6,162.31
21.63333333,163.44
21.66666667,162.69
21.7,164.1
21.73333333,162.63
21.76666667,164.4
21.8,162.59
21.83333333,162.02
22.36666667,148.86
22.4,148.97
22.43333333,148.1
23,149.01
23.03333333,159
23.06666667,159
23.1,158
23.13333333,156
23.16666667,153.01
23.2,151.01
23.23333333,149.03
23.26666667,150.01
24.56666667,166.63
24.6,165.17
24.63333333,166.39
24.66666667,167.36
24.7,167.36
24.73333333,167.61
24.76666667,167.61
24.8,166.9
24.86666667,167.44
24.9,166.48
24.93333333,165.8
24.96666667,164.84
25,164.17
25.03333333,162.93
25.06666667,162.56
25.1,163.82
25.13333333,163.81
25.16666667,164.81
25.2,165.85
25.23333333,166.01
25.26666667,164.92
25.73333333,157.32
25.76666667,160.25
25.8,161.2
25.83333333,159.25
25.86666667,160.2
25.9,161.15
25.93333333,162.11
25.96666667,161.2
26,161.11
26.03333333,161.11
26.06666667,161.03
26.86666667,151.83
26.9,153.29
26.93333333,153.77
26.96666667,154.02
27,154.02
27.03333333,154.99
27.06666667,155.96
27.1,155.47
27.13333333,156.68
27.16666667,157.18
27.33333333,144.54
27.36666667,144.93
27.4,146.51
27.56666667,153.73
27.6,152.74
27.63333333,150.47
27.66666667,154.04
27.7,157.17
27.73333333,157.99
27.76666667,157.99
27.8,159.81
27.83333333,159.97
27.86666667,159.67
27.9,158.68
27.93333333,156.42
27.96666667,156.42
28,157.41
28.03333333,157.54
28.96666667,158.98
29,161.28
29.03333333,164.07
29.06666667,165.06
29.8,141.89
29.83333333,143.18
30.1,155.17
30.13333333,155.43
30.16666667,156.42
30.2,157.41
30.23333333,156.55
30.26666667,158.15
30.3,158.15
30.33333333,159.14
30.36666667,155.93
30.4,153.64
30.43333333,151.48
30.46666667,150.75
30.53333333,155.63
30.56666667,157.71
31.1,172.59
31.13333333,173
31.16666667,175.93
31.2,173
31.23333333,173
31.26666667,172.03
31.3,171.49
31.33333333,171.72
31.36666667,172.45
31.9,171.03
31.93333333,172.05
31.96666667,171.11
32,170.14
32.03333333,169.24
32.06666667,165.37
32.3,148.12
32.33333333,151.03
32.36666667,150.01
32.4,149.03
32.43333333,150.03
32.46666667,152
32.5,153.01
32.53333333,156.01
32.56666667,157
32.6,159
32.63333333,161.05
32.96666667,169.78
33,172.2
33.03333333,173.92
33.06666667,174.63
33.1,171.73
33.13333333,172.7
33.16666667,171.73
33.2,170.51
33.23333333,170.51
33.26666667,170.77
33.3,170.51
33.33333333,171.99
33.36666667,171.73
33.4,170.06
33.43333333,167.44
33.63333333,165.17
33.7,168.67
33.73333333,168.19
33.76666667,170.03
33.8,169.05
33.83333333,168.19
33.86666667,168.3
33.9,169.36
33.93333333,166.59
33.96666667,165.68
34,163.44
34.66666667,157.84
34.7,156.7
34.83333333,153.83
34.9,150.65
34.93333333,147.76
34.96666667,147.11
35,145.25
36.76666667,144.5
